"page_url","asset_type","source_url","alt_text","local_path","http_status","migration_stage","qa_status","owner_decision_status","notes"
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/nsplsh_fd30380e11e14517b2d562dcba417400~mv2.jpg/v1/fill/w_288,h_216,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/nsplsh_fd30380e11e14517b2d562dcba417400~mv2.jpg","","assets/images/nsplsh_fd30380e11e14517b2d562dcba417400~mv2.jpg","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_d2489693f074449ab074d1c583395a62~mv2.png/v1/fill/w_601,h_339,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/40%20Days%20of%20Holiness%20Package%20mockup%20-%20smaller.png","40 Days of Holiness Package mockup - smaller.png","assets/images/3d5cce_d2489693f074449ab074d1c583395a62~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_b84f990e27654d14b47285c31d5bfeff~mv2.jpg/v1/fill/w_300,h_226,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/40%20Days%20of%20Holiness%20Book%20Cover.jpg","40 Days of Holiness Book Cover.jpg","assets/images/3d5cce_b84f990e27654d14b47285c31d5bfeff~mv2.jpg","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_22880daed587480aad88c17aa68dffb9~mv2.png/v1/fill/w_300,h_226,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Pursung%20Holiness.png","Pursung Holiness.png","assets/images/3d5cce_22880daed587480aad88c17aa68dffb9~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_05be6c83d61f45859956260b9e99edbe~mv2.jpg/v1/fill/w_300,h_226,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/sinful%20nature.jpg","sinful nature.jpg","assets/images/3d5cce_05be6c83d61f45859956260b9e99edbe~mv2.jpg","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/1844e63f2ea441578a1cb71efea3fb1f.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/1844e63f2ea441578a1cb71efea3fb1f.jpg","Woman with Bible","assets/images/1844e63f2ea441578a1cb71efea3fb1f.jpg","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW","Delivery copy uses the existing public Wix optimized rendition because the original exceeded 5 MB."
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_b84f990e27654d14b47285c31d5bfeff~mv2.jpg/v1/fill/w_456,h_455,fp_0.61_0.26,q_90,enc_avif,quality_auto/3d5cce_b84f990e27654d14b47285c31d5bfeff~mv2.jpg","","assets/images/3d5cce_b84f990e27654d14b47285c31d5bfeff~mv2.jpg","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_e54f2219a2d3428e9b974a3e15084902~mv2.png/v1/fill/w_455,h_455,q_90,enc_avif,quality_auto/3d5cce_e54f2219a2d3428e9b974a3e15084902~mv2.png","","assets/images/3d5cce_e54f2219a2d3428e9b974a3e15084902~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_2fdc483104984ef4ac055bec0fa8bac8~mv2.png/v1/fill/w_456,h_455,q_90,enc_avif,quality_auto/3d5cce_2fdc483104984ef4ac055bec0fa8bac8~mv2.png","","assets/images/3d5cce_2fdc483104984ef4ac055bec0fa8bac8~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_86c096eb3ede4da8a8031b9f280b5d9a~mv2.png/v1/fill/w_455,h_455,q_90,enc_avif,quality_auto/3d5cce_86c096eb3ede4da8a8031b9f280b5d9a~mv2.png","","assets/images/3d5cce_86c096eb3ede4da8a8031b9f280b5d9a~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_df9f5d2b4cb24903b777cc71ec79be98~mv2.png/v1/fill/w_456,h_455,fp_0.72_0.19,q_90,enc_avif,quality_auto/3d5cce_df9f5d2b4cb24903b777cc71ec79be98~mv2.png","","assets/images/3d5cce_df9f5d2b4cb24903b777cc71ec79be98~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_752c9d77baf6423fb16d7777036842ec~mv2.png/v1/fill/w_455,h_455,q_90,enc_avif,quality_auto/3d5cce_752c9d77baf6423fb16d7777036842ec~mv2.png","","assets/images/3d5cce_752c9d77baf6423fb16d7777036842ec~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_22880daed587480aad88c17aa68dffb9~mv2.png/v1/fill/w_147,h_132,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/3d5cce_22880daed587480aad88c17aa68dffb9~mv2.png","","assets/images/3d5cce_22880daed587480aad88c17aa68dffb9~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/c19c76_82f231993a674b1896b44089efb147fc.png/v1/fill/w_147,h_147,al_c,lg_1,q_85,enc_avif,quality_auto/c19c76_82f231993a674b1896b44089efb147fc.png","","assets/images/c19c76_82f231993a674b1896b44089efb147fc.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/c19c76_82f231993a674b1896b44089efb147fc.png/v1/fill/w_147,h_147,al_c,lg_1,q_85,enc_avif,quality_auto/c19c76_82f231993a674b1896b44089efb147fc.png","","assets/images/c19c76_82f231993a674b1896b44089efb147fc.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_c56850d9e162405192813413875bac8b~mv2.png/v1/fill/w_159,h_80,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/3d5cce_c56850d9e162405192813413875bac8b~mv2.png","","assets/images/3d5cce_c56850d9e162405192813413875bac8b~mv2.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/c19c76_75bd6ff08bc54e11a0bb3b681f80e249.png/v1/fill/w_147,h_147,al_c,lg_1,q_85,enc_avif,quality_auto/c19c76_75bd6ff08bc54e11a0bb3b681f80e249.png","","assets/images/c19c76_75bd6ff08bc54e11a0bb3b681f80e249.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/c19c76_75bd6ff08bc54e11a0bb3b681f80e249.png/v1/fill/w_147,h_147,al_c,lg_1,q_85,enc_avif,quality_auto/c19c76_75bd6ff08bc54e11a0bb3b681f80e249.png","","assets/images/c19c76_75bd6ff08bc54e11a0bb3b681f80e249.png","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
"https://www.40daysofholiness.com/","IMAGE","https://static.wixstatic.com/media/3d5cce_be259097bafd44b9a0b69bb0fbffdd47~mv2.jpg/v1/fill/w_146,h_95,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/3d5cce_be259097bafd44b9a0b69bb0fbffdd47~mv2.jpg","","assets/images/3d5cce_be259097bafd44b9a0b69bb0fbffdd47~mv2.jpg","200","ASSETS_CAPTURED","NOT_TESTED","PENDING_OWNER_REVIEW",""
